ord_id,order_date,order_priority
Ord_1642,"2009-02-04 00:00:00",CRITICAL
Ord_1771,"2009-02-04 00:00:00",MEDIUM
Ord_2590,"2009-02-04 00:00:00",HIGH
Ord_3858,"2009-02-04 00:00:00",MEDIUM
Ord_2738,"2009-02-05 00:00:00","NOT SPECIFIED"
Ord_4670,"2009-02-05 00:00:00",MEDIUM
Ord_4830,"2009-02-05 00:00:00",HIGH
Ord_1854,"2009-02-06 00:00:00",CRITICAL
Ord_1866,"2009-02-06 00:00:00","NOT SPECIFIED"
Ord_2070,"2009-02-06 00:00:00",MEDIUM
Ord_184,"2009-02-07 00:00:00",HIGH
Ord_1120,"2009-02-07 00:00:00",CRITICAL
Ord_2364,"2009-02-07 00:00:00",MEDIUM
Ord_3450,"2009-02-07 00:00:00",MEDIUM
Ord_3825,"2009-02-07 00:00:00",CRITICAL
Ord_5494,"2009-02-07 00:00:00",MEDIUM
Ord_144,"2009-02-08 00:00:00","NOT SPECIFIED"
Ord_313,"2009-02-08 00:00:00",MEDIUM
Ord_315,"2009-02-08 00:00:00",CRITICAL
Ord_1755,"2009-02-08 00:00:00",CRITICAL
Ord_4716,"2009-02-08 00:00:00","NOT SPECIFIED"
Ord_2789,"2009-02-09 00:00:00","NOT SPECIFIED"
Ord_2957,"2009-02-09 00:00:00",CRITICAL
Ord_383,"2009-02-10 00:00:00","NOT SPECIFIED"
Ord_667,"2009-02-10 00:00:00",CRITICAL
Ord_4470,"2009-02-10 00:00:00","NOT SPECIFIED"
Ord_1342,"2009-02-11 00:00:00",LOW
Ord_1414,"2009-02-11 00:00:00",LOW
Ord_2303,"2009-02-11 00:00:00",CRITICAL
Ord_3068,"2009-02-11 00:00:00",LOW
Ord_4682,"2009-02-11 00:00:00","NOT SPECIFIED"
Ord_342,"2009-02-12 00:00:00",HIGH
Ord_1773,"2009-02-12 00:00:00",LOW
Ord_2471,"2009-02-12 00:00:00",MEDIUM
Ord_3616,"2009-02-12 00:00:00","NOT SPECIFIED"
Ord_3962,"2009-02-12 00:00:00",LOW
Ord_1167,"2009-03-01 00:00:00",CRITICAL
Ord_3097,"2009-03-01 00:00:00",HIGH
Ord_3707,"2009-03-01 00:00:00",LOW
Ord_5151,"2009-03-01 00:00:00",HIGH
Ord_5267,"2009-03-01 00:00:00",HIGH
Ord_5271,"2009-03-01 00:00:00","NOT SPECIFIED"
Ord_4881,"2009-03-02 00:00:00","NOT SPECIFIED"
Ord_81,"2009-03-03 00:00:00",LOW
Ord_2512,"2009-03-04 00:00:00",HIGH
Ord_2737,"2009-03-05 00:00:00",LOW
Ord_4070,"2009-03-05 00:00:00",MEDIUM
Ord_5088,"2009-03-05 00:00:00","NOT SPECIFIED"
Ord_1332,"2009-03-06 00:00:00",MEDIUM
Ord_3242,"2009-03-06 00:00:00",LOW
Ord_3807,"2009-03-06 00:00:00","NOT SPECIFIED"
Ord_4402,"2009-03-06 00:00:00",HIGH
Ord_4435,"2009-03-06 00:00:00","NOT SPECIFIED"
Ord_4730,"2009-03-06 00:00:00",LOW
Ord_5322,"2009-03-06 00:00:00",LOW
Ord_393,"2009-03-07 00:00:00",LOW
Ord_844,"2009-03-07 00:00:00",HIGH
Ord_947,"2009-03-07 00:00:00",HIGH
Ord_1075,"2009-03-07 00:00:00",HIGH
Ord_2503,"2009-03-07 00:00:00",LOW
Ord_3413,"2009-03-07 00:00:00",HIGH
Ord_3600,"2009-03-08 00:00:00",LOW
Ord_3694,"2009-03-08 00:00:00",MEDIUM
Ord_5081,"2009-03-09 00:00:00","NOT SPECIFIED"
Ord_462,"2009-03-11 00:00:00","NOT SPECIFIED"
Ord_657,"2009-03-11 00:00:00","NOT SPECIFIED"
Ord_782,"2009-03-11 00:00:00",HIGH
Ord_2722,"2009-03-11 00:00:00",CRITICAL
Ord_3881,"2009-03-11 00:00:00",HIGH
Ord_4465,"2009-03-11 00:00:00",LOW
Ord_2383,"2009-03-12 00:00:00","NOT SPECIFIED"
Ord_1345,"2009-04-01 00:00:00",CRITICAL
Ord_1619,"2009-04-01 00:00:00",HIGH
Ord_448,"2009-04-02 00:00:00",LOW
Ord_613,"2009-04-02 00:00:00",MEDIUM
Ord_977,"2009-04-02 00:00:00",LOW
Ord_1139,"2009-04-02 00:00:00",MEDIUM
Ord_3272,"2009-04-02 00:00:00",MEDIUM
Ord_3398,"2009-04-02 00:00:00",MEDIUM
Ord_3966,"2009-04-02 00:00:00",MEDIUM
Ord_4484,"2009-04-02 00:00:00",LOW
Ord_62,"2009-04-03 00:00:00",LOW
Ord_3307,"2009-04-03 00:00:00",LOW
Ord_3770,"2009-04-03 00:00:00",CRITICAL
Ord_545,"2009-04-04 00:00:00",CRITICAL
Ord_2408,"2009-04-04 00:00:00",HIGH
Ord_2938,"2009-04-04 00:00:00",LOW
Ord_3026,"2009-04-04 00:00:00",HIGH
Ord_5161,"2009-04-04 00:00:00",MEDIUM
Ord_4211,"2009-04-05 00:00:00",MEDIUM
Ord_4354,"2009-04-05 00:00:00",HIGH
Ord_4954,"2009-04-05 00:00:00",MEDIUM
Ord_5142,"2009-04-05 00:00:00",CRITICAL
Ord_2418,"2009-04-06 00:00:00","NOT SPECIFIED"
Ord_2940,"2009-04-06 00:00:00",CRITICAL
Ord_4313,"2009-04-06 00:00:00",HIGH
Ord_5152,"2009-04-06 00:00:00",LOW
Ord_951,"2009-04-07 00:00:00",CRITICAL
Ord_1564,"2009-04-07 00:00:00",MEDIUM
Ord_1644,"2009-04-07 00:00:00",MEDIUM
Ord_1660,"2009-04-07 00:00:00",LOW
Ord_3526,"2009-04-07 00:00:00",HIGH
Ord_4637,"2009-04-07 00:00:00",HIGH
Ord_377,"2009-04-08 00:00:00","NOT SPECIFIED"
Ord_909,"2009-04-08 00:00:00",MEDIUM
Ord_2567,"2009-04-08 00:00:00","NOT SPECIFIED"
Ord_2785,"2009-04-08 00:00:00",CRITICAL
Ord_4434,"2009-04-08 00:00:00",CRITICAL
Ord_5453,"2009-04-08 00:00:00",CRITICAL
Ord_162,"2009-04-09 00:00:00",CRITICAL
Ord_829,"2009-04-09 00:00:00","NOT SPECIFIED"
Ord_4432,"2009-04-09 00:00:00",MEDIUM
Ord_5416,"2009-04-09 00:00:00",MEDIUM
Ord_1268,"2009-04-10 00:00:00",MEDIUM
Ord_1950,"2009-04-10 00:00:00",LOW
Ord_2114,"2009-04-10 00:00:00",LOW
Ord_2345,"2009-04-10 00:00:00","NOT SPECIFIED"
Ord_3029,"2009-04-10 00:00:00",MEDIUM
Ord_3158,"2009-04-10 00:00:00",LOW
Ord_3276,"2009-04-10 00:00:00",MEDIUM
Ord_899,"2009-04-11 00:00:00",CRITICAL
Ord_1119,"2009-04-11 00:00:00","NOT SPECIFIED"
Ord_1985,"2009-04-11 00:00:00",CRITICAL
Ord_2301,"2009-04-11 00:00:00",CRITICAL
Ord_2911,"2009-04-11 00:00:00",CRITICAL
Ord_3353,"2009-04-11 00:00:00",HIGH
Ord_3422,"2009-04-11 00:00:00",CRITICAL
Ord_1374,"2009-04-12 00:00:00",HIGH
Ord_2689,"2009-04-12 00:00:00","NOT SPECIFIED"
Ord_3761,"2009-04-12 00:00:00",LOW
Ord_301,"2009-05-01 00:00:00",HIGH
Ord_500,"2009-05-01 00:00:00",HIGH
Ord_553,"2009-05-01 00:00:00","NOT SPECIFIED"
Ord_1251,"2009-05-01 00:00:00",CRITICAL
Ord_1664,"2009-05-01 00:00:00",CRITICAL
Ord_2330,"2009-05-01 00:00:00","NOT SPECIFIED"
Ord_3339,"2009-05-01 00:00:00",MEDIUM
Ord_3750,"2009-05-01 00:00:00",HIGH
Ord_519,"2009-05-02 00:00:00",LOW
Ord_557,"2009-05-02 00:00:00",CRITICAL
Ord_3347,"2009-05-02 00:00:00",CRITICAL
Ord_4289,"2009-05-02 00:00:00",MEDIUM
Ord_4336,"2009-05-02 00:00:00",MEDIUM
Ord_367,"2009-05-03 00:00:00","NOT SPECIFIED"
Ord_1128,"2009-05-03 00:00:00",MEDIUM
Ord_3038,"2009-05-03 00:00:00",CRITICAL
Ord_3142,"2009-05-03 00:00:00","NOT SPECIFIED"
Ord_4126,"2009-05-03 00:00:00",LOW
Ord_1529,"2009-05-04 00:00:00",HIGH
Ord_3134,"2009-05-04 00:00:00","NOT SPECIFIED"
Ord_3994,"2009-05-04 00:00:00",HIGH
Ord_684,"2009-05-05 00:00:00",LOW
Ord_1546,"2009-05-05 00:00:00",LOW
Ord_2022,"2009-05-05 00:00:00",MEDIUM
Ord_2660,"2009-05-06 00:00:00",HIGH
Ord_4364,"2009-05-07 00:00:00",LOW
Ord_4891,"2009-05-07 00:00:00",LOW
Ord_123,"2009-05-08 00:00:00","NOT SPECIFIED"
Ord_792,"2009-05-08 00:00:00",LOW
Ord_802,"2009-05-08 00:00:00",LOW
Ord_1727,"2009-05-08 00:00:00",MEDIUM
Ord_2996,"2009-05-08 00:00:00",MEDIUM
Ord_4276,"2009-05-08 00:00:00","NOT SPECIFIED"
Ord_4375,"2009-05-08 00:00:00",MEDIUM
Ord_461,"2009-05-09 00:00:00","NOT SPECIFIED"
Ord_720,"2009-05-09 00:00:00",LOW
Ord_4643,"2009-05-09 00:00:00",HIGH
Ord_4934,"2009-05-09 00:00:00","NOT SPECIFIED"
Ord_4986,"2009-05-09 00:00:00",HIGH
Ord_5015,"2009-05-09 00:00:00",MEDIUM
Ord_903,"2009-05-10 00:00:00",HIGH
Ord_2269,"2009-05-10 00:00:00",CRITICAL
Ord_2754,"2009-05-10 00:00:00","NOT SPECIFIED"
Ord_532,"2009-05-11 00:00:00","NOT SPECIFIED"
Ord_4613,"2009-05-11 00:00:00",MEDIUM
Ord_4853,"2009-05-11 00:00:00",HIGH
Ord_4889,"2009-05-11 00:00:00","NOT SPECIFIED"
Ord_1057,"2009-05-12 00:00:00",LOW
Ord_1791,"2009-05-12 00:00:00",MEDIUM
Ord_3473,"2009-05-12 00:00:00",MEDIUM
Ord_4292,"2009-05-12 00:00:00",LOW
Ord_138,"2009-06-01 00:00:00",CRITICAL
Ord_1853,"2009-06-01 00:00:00",LOW
Ord_3237,"2009-06-01 00:00:00",MEDIUM
Ord_3953,"2009-06-01 00:00:00","NOT SPECIFIED"
Ord_4146,"2009-06-01 00:00:00",CRITICAL
Ord_4148,"2009-06-01 00:00:00","NOT SPECIFIED"
Ord_4194,"2009-06-01 00:00:00",LOW
Ord_4551,"2009-06-01 00:00:00",HIGH
Ord_1181,"2009-06-02 00:00:00",LOW
Ord_2278,"2009-06-02 00:00:00",CRITICAL
Ord_3578,"2009-06-02 00:00:00",HIGH
Ord_3967,"2009-06-02 00:00:00",HIGH
Ord_285,"2009-06-03 00:00:00",MEDIUM
Ord_687,"2009-06-03 00:00:00","NOT SPECIFIED"
Ord_5413,"2009-06-03 00:00:00",LOW
Ord_360,"2009-06-04 00:00:00",HIGH
Ord_1163,"2009-06-04 00:00:00",LOW
Ord_1760,"2009-06-04 00:00:00",LOW
Ord_2002,"2009-06-04 00:00:00",CRITICAL
Ord_2225,"2009-06-04 00:00:00",MEDIUM
Ord_3233,"2009-06-04 00:00:00",LOW
Ord_3954,"2009-06-04 00:00:00",HIGH
Ord_4630,"2009-06-04 00:00:00",MEDIUM
Ord_465,"2009-06-05 00:00:00",CRITICAL
Ord_4221,"2009-06-05 00:00:00",HIGH
Ord_1969,"2009-06-06 00:00:00",CRITICAL
Ord_542,"2009-06-07 00:00:00",LOW
Ord_933,"2009-06-07 00:00:00","NOT SPECIFIED"
Ord_2194,"2009-06-07 00:00:00",MEDIUM
Ord_2489,"2009-06-07 00:00:00",MEDIUM
Ord_5050,"2009-06-07 00:00:00","NOT SPECIFIED"
Ord_551,"2009-06-08 00:00:00",LOW
Ord_651,"2009-06-08 00:00:00",CRITICAL
Ord_1071,"2009-06-08 00:00:00",HIGH
Ord_2526,"2009-06-08 00:00:00",LOW
Ord_3982,"2009-06-08 00:00:00",LOW
Ord_4227,"2009-06-08 00:00:00",HIGH
Ord_5121,"2009-06-08 00:00:00",HIGH
Ord_971,"2009-06-09 00:00:00",CRITICAL
Ord_992,"2009-06-09 00:00:00",CRITICAL
Ord_1049,"2009-06-09 00:00:00",LOW
Ord_4655,"2009-06-09 00:00:00","NOT SPECIFIED"
Ord_5328,"2009-06-09 00:00:00",LOW
Ord_3740,"2009-06-10 00:00:00",CRITICAL
Ord_4942,"2009-06-10 00:00:00",CRITICAL
Ord_1418,"2009-06-11 00:00:00","NOT SPECIFIED"
Ord_626,"2009-06-12 00:00:00",HIGH
Ord_1098,"2009-06-12 00:00:00",MEDIUM
Ord_1239,"2009-06-12 00:00:00","NOT SPECIFIED"
Ord_1597,"2009-06-12 00:00:00","NOT SPECIFIED"
Ord_1602,"2009-06-12 00:00:00",MEDIUM
Ord_2747,"2009-06-12 00:00:00",CRITICAL
Ord_2889,"2009-06-12 00:00:00","NOT SPECIFIED"
Ord_4084,"2009-06-12 00:00:00",MEDIUM
Ord_1256,"2009-07-01 00:00:00",HIGH
Ord_1416,"2009-07-01 00:00:00",MEDIUM
Ord_2044,"2009-07-01 00:00:00",LOW
Ord_2338,"2009-07-01 00:00:00",MEDIUM
Ord_4623,"2009-07-01 00:00:00",LOW
Ord_5077,"2009-07-01 00:00:00",HIGH
Ord_3178,"2009-07-02 00:00:00",MEDIUM
Ord_4085,"2009-07-02 00:00:00",MEDIUM
Ord_4558,"2009-07-02 00:00:00",LOW
Ord_664,"2009-07-03 00:00:00",CRITICAL
Ord_354,"2009-07-04 00:00:00",LOW
Ord_1147,"2009-07-04 00:00:00",MEDIUM
Ord_3390,"2009-07-04 00:00:00","NOT SPECIFIED"
Ord_4242,"2009-07-04 00:00:00",LOW
Ord_4420,"2009-07-04 00:00:00",MEDIUM
Ord_2584,"2009-07-05 00:00:00",HIGH
Ord_2748,"2009-07-05 00:00:00",MEDIUM
Ord_2917,"2009-07-05 00:00:00",CRITICAL
Ord_3332,"2009-07-05 00:00:00",HIGH
Ord_3699,"2009-07-05 00:00:00",HIGH
Ord_3950,"2009-07-05 00:00:00",MEDIUM
Ord_4621,"2009-07-05 00:00:00",HIGH
Ord_4872,"2009-07-05 00:00:00",HIGH
Ord_118,"2009-07-06 00:00:00",LOW
Ord_511,"2009-07-06 00:00:00",HIGH
Ord_2042,"2009-07-06 00:00:00",LOW
Ord_4214,"2009-07-06 00:00:00",LOW
Ord_4723,"2009-07-06 00:00:00",CRITICAL
Ord_244,"2009-07-07 00:00:00",LOW
Ord_857,"2009-07-07 00:00:00",CRITICAL
Ord_2621,"2009-07-07 00:00:00",MEDIUM
Ord_3407,"2009-07-07 00:00:00",LOW
Ord_4421,"2009-07-07 00:00:00",LOW
Ord_5406,"2009-07-07 00:00:00",HIGH
Ord_471,"2009-07-08 00:00:00",CRITICAL
Ord_2416,"2009-07-08 00:00:00","NOT SPECIFIED"
Ord_4814,"2009-07-08 00:00:00",HIGH
Ord_5454,"2009-07-08 00:00:00",HIGH
Ord_4416,"2009-07-09 00:00:00","NOT SPECIFIED"
Ord_842,"2009-07-10 00:00:00","NOT SPECIFIED"
Ord_1072,"2009-07-10 00:00:00",HIGH
Ord_2360,"2009-07-10 00:00:00",MEDIUM
Ord_5005,"2009-07-10 00:00:00",HIGH
Ord_3342,"2009-07-11 00:00:00",CRITICAL
Ord_4890,"2009-07-11 00:00:00",CRITICAL
Ord_707,"2009-07-12 00:00:00",MEDIUM
Ord_1653,"2009-07-12 00:00:00",CRITICAL
Ord_3522,"2009-07-12 00:00:00",MEDIUM
Ord_3730,"2009-07-12 00:00:00",MEDIUM
Ord_4182,"2009-07-12 00:00:00",LOW
Ord_2596,"2009-08-01 00:00:00",HIGH
Ord_3972,"2009-08-01 00:00:00","NOT SPECIFIED"
Ord_5361,"2009-08-01 00:00:00",HIGH
Ord_2075,"2009-08-02 00:00:00","NOT SPECIFIED"
Ord_2399,"2009-08-02 00:00:00",MEDIUM
Ord_5059,"2009-08-02 00:00:00",MEDIUM
Ord_5506,"2009-08-02 00:00:00",HIGH
Ord_1228,"2009-08-03 00:00:00",HIGH
Ord_3835,"2009-08-03 00:00:00",LOW
Ord_4186,"2009-08-03 00:00:00",CRITICAL
Ord_948,"2009-08-04 00:00:00","NOT SPECIFIED"
Ord_1367,"2009-08-04 00:00:00",CRITICAL
Ord_1875,"2009-08-04 00:00:00",LOW
Ord_2334,"2009-08-04 00:00:00",CRITICAL
Ord_2367,"2009-08-04 00:00:00",CRITICAL
Ord_3169,"2009-08-04 00:00:00",LOW
Ord_1043,"2009-08-05 00:00:00",HIGH
Ord_4225,"2009-08-05 00:00:00",LOW
Ord_4602,"2009-08-05 00:00:00","NOT SPECIFIED"
Ord_5019,"2009-08-06 00:00:00",LOW
Ord_2038,"2009-08-07 00:00:00",LOW
Ord_3463,"2009-08-08 00:00:00",HIGH
Ord_3598,"2009-08-09 00:00:00",CRITICAL
Ord_4851,"2009-08-09 00:00:00",LOW
Ord_179,"2009-08-10 00:00:00",CRITICAL
Ord_2473,"2009-08-10 00:00:00","NOT SPECIFIED"
Ord_3589,"2009-08-10 00:00:00",CRITICAL
Ord_3917,"2009-08-10 00:00:00",MEDIUM
Ord_4267,"2009-08-10 00:00:00","NOT SPECIFIED"
Ord_231,"2009-08-11 00:00:00","NOT SPECIFIED"
Ord_1740,"2009-08-11 00:00:00",LOW
Ord_2484,"2009-08-11 00:00:00","NOT SPECIFIED"
Ord_3287,"2009-08-11 00:00:00",LOW
Ord_4721,"2009-08-11 00:00:00",CRITICAL
Ord_2227,"2009-08-12 00:00:00","NOT SPECIFIED"
Ord_4991,"2009-08-12 00:00:00",CRITICAL
Ord_1241,"2009-09-01 00:00:00","NOT SPECIFIED"
Ord_1757,"2009-09-01 00:00:00",LOW
Ord_2032,"2009-09-01 00:00:00","NOT SPECIFIED"
Ord_2324,"2009-09-01 00:00:00","NOT SPECIFIED"
Ord_2941,"2009-09-01 00:00:00",LOW
Ord_4404,"2009-09-01 00:00:00",HIGH
Ord_5460,"2009-09-02 00:00:00",LOW
Ord_330,"2009-09-03 00:00:00",HIGH
Ord_3805,"2009-09-03 00:00:00","NOT SPECIFIED"
Ord_3937,"2009-09-03 00:00:00",LOW
Ord_5334,"2009-09-03 00:00:00","NOT SPECIFIED"
Ord_1556,"2009-09-04 00:00:00",LOW
Ord_1759,"2009-09-04 00:00:00","NOT SPECIFIED"
Ord_3248,"2009-09-04 00:00:00",HIGH
Ord_4060,"2009-09-04 00:00:00","NOT SPECIFIED"
Ord_4431,"2009-09-04 00:00:00",MEDIUM
Ord_4710,"2009-09-04 00:00:00",CRITICAL
Ord_5245,"2009-09-04 00:00:00",LOW
Ord_2599,"2009-09-05 00:00:00",CRITICAL
Ord_3900,"2009-09-05 00:00:00",HIGH
Ord_2385,"2009-09-06 00:00:00",CRITICAL
Ord_3107,"2009-09-07 00:00:00",CRITICAL
Ord_3410,"2009-09-07 00:00:00","NOT SPECIFIED"
Ord_3678,"2009-09-07 00:00:00",CRITICAL
Ord_4596,"2009-09-07 00:00:00",CRITICAL
Ord_572,"2009-09-08 00:00:00",HIGH
Ord_1284,"2009-09-08 00:00:00","NOT SPECIFIED"
Ord_3847,"2009-09-08 00:00:00",MEDIUM
Ord_4191,"2009-09-08 00:00:00",LOW
Ord_3745,"2009-09-09 00:00:00",CRITICAL
Ord_26,"2009-09-10 00:00:00",HIGH
Ord_116,"2009-09-10 00:00:00","NOT SPECIFIED"
Ord_1449,"2009-09-10 00:00:00",CRITICAL
Ord_3138,"2009-09-10 00:00:00",HIGH
Ord_3804,"2009-09-10 00:00:00","NOT SPECIFIED"
Ord_4143,"2009-09-10 00:00:00",CRITICAL
Ord_1520,"2009-09-11 00:00:00",HIGH
Ord_293,"2009-09-12 00:00:00","NOT SPECIFIED"
Ord_708,"2009-09-12 00:00:00",CRITICAL
Ord_1761,"2009-09-12 00:00:00",MEDIUM
Ord_1964,"2009-09-12 00:00:00",LOW
Ord_5343,"2009-09-12 00:00:00",MEDIUM
Ord_862,"2009-10-01 00:00:00",CRITICAL
Ord_950,"2009-10-01 00:00:00",CRITICAL
Ord_1077,"2009-10-01 00:00:00",LOW
Ord_1384,"2009-10-01 00:00:00",CRITICAL
Ord_2907,"2009-10-01 00:00:00",MEDIUM
Ord_2992,"2009-10-01 00:00:00",HIGH
Ord_3656,"2009-10-01 00:00:00",LOW
Ord_5323,"2009-10-01 00:00:00","NOT SPECIFIED"
Ord_1568,"2009-10-02 00:00:00",MEDIUM
Ord_3049,"2009-10-02 00:00:00",HIGH
Ord_3369,"2009-10-02 00:00:00",CRITICAL
Ord_3436,"2009-10-02 00:00:00",MEDIUM
Ord_3488,"2009-10-02 00:00:00",LOW
Ord_3391,"2009-10-03 00:00:00",MEDIUM
Ord_4142,"2009-10-03 00:00:00",MEDIUM
Ord_5452,"2009-10-03 00:00:00",LOW
Ord_755,"2009-10-04 00:00:00","NOT SPECIFIED"
Ord_1164,"2009-10-04 00:00:00","NOT SPECIFIED"
Ord_1489,"2009-10-04 00:00:00","NOT SPECIFIED"
Ord_1578,"2009-10-04 00:00:00",CRITICAL
Ord_2321,"2009-10-04 00:00:00",MEDIUM
Ord_3064,"2009-10-04 00:00:00","NOT SPECIFIED"
Ord_4514,"2009-10-04 00:00:00",HIGH
Ord_4599,"2009-10-04 00:00:00",MEDIUM
Ord_1106,"2009-10-05 00:00:00",LOW
Ord_3893,"2009-10-05 00:00:00",LOW
Ord_1247,"2009-10-06 00:00:00","NOT SPECIFIED"
Ord_1832,"2009-10-06 00:00:00",HIGH
Ord_4166,"2009-10-07 00:00:00",HIGH
Ord_130,"2009-10-08 00:00:00",LOW
Ord_839,"2009-10-08 00:00:00",CRITICAL
Ord_3789,"2009-10-08 00:00:00","NOT SPECIFIED"
Ord_5021,"2009-10-08 00:00:00",LOW
Ord_5379,"2009-10-08 00:00:00",CRITICAL
Ord_2761,"2009-10-09 00:00:00",CRITICAL
Ord_5351,"2009-10-09 00:00:00","NOT SPECIFIED"
Ord_1713,"2009-10-10 00:00:00",HIGH
Ord_2128,"2009-10-10 00:00:00",CRITICAL
Ord_3498,"2009-10-10 00:00:00",LOW
Ord_473,"2009-10-11 00:00:00",HIGH
Ord_2046,"2009-10-11 00:00:00",LOW
Ord_2939,"2009-10-11 00:00:00",MEDIUM
Ord_3408,"2009-10-11 00:00:00",HIGH
Ord_5489,"2009-10-11 00:00:00",HIGH
Ord_484,"2009-10-12 00:00:00","NOT SPECIFIED"
Ord_2775,"2009-10-12 00:00:00",CRITICAL
Ord_4852,"2009-10-12 00:00:00",MEDIUM
Ord_121,"2009-11-01 00:00:00",HIGH
Ord_1931,"2009-11-01 00:00:00","NOT SPECIFIED"
Ord_4043,"2009-11-01 00:00:00",LOW
Ord_1595,"2009-11-02 00:00:00",CRITICAL
Ord_3460,"2009-11-02 00:00:00",CRITICAL
Ord_3841,"2009-11-02 00:00:00",HIGH
Ord_4494,"2009-11-02 00:00:00",HIGH
Ord_165,"2009-11-03 00:00:00",HIGH
Ord_1144,"2009-11-03 00:00:00","NOT SPECIFIED"
Ord_1173,"2009-11-04 00:00:00","NOT SPECIFIED"
Ord_1192,"2009-11-04 00:00:00",HIGH
Ord_4824,"2009-11-04 00:00:00",MEDIUM
Ord_1961,"2009-11-05 00:00:00",LOW
Ord_3748,"2009-11-05 00:00:00",HIGH
Ord_4162,"2009-11-05 00:00:00",LOW
Ord_4618,"2009-11-05 00:00:00",HIGH
Ord_1178,"2009-11-06 00:00:00",HIGH
Ord_1266,"2009-11-06 00:00:00",CRITICAL
Ord_2079,"2009-11-06 00:00:00",HIGH
Ord_2800,"2009-11-06 00:00:00","NOT SPECIFIED"
Ord_3867,"2009-11-06 00:00:00",CRITICAL
Ord_4832,"2009-11-06 00:00:00",CRITICAL
Ord_2318,"2009-11-07 00:00:00",CRITICAL
Ord_752,"2009-11-08 00:00:00",HIGH
Ord_1433,"2009-11-08 00:00:00",HIGH
Ord_3788,"2009-11-08 00:00:00",MEDIUM
Ord_5242,"2009-11-08 00:00:00","NOT SPECIFIED"
Ord_85,"2009-11-09 00:00:00",HIGH
Ord_866,"2009-11-09 00:00:00",CRITICAL
